평가자 별칭,소속 팀,평가 대상 팀원 별칭,역할 수행 및 책임감,프로젝트 기여도,일정 및 약속 준수,의사소통 및 협업,문제 해결 및 적극성
레오나르도 다빈치,파리팀,마리 퀴리,3,2,3,3,3
테일러 스위프트,토론토팀,엠마 왓슨,5,5,5,4,5
무하마드 알리,토론토팀,엠마 왓슨,5,5,5,5,5
세레나 윌리엄스,서울팀,우사인 볼트,5,4,5,5,5
일론 머스크,시드니팀,스티브 잡스,5,5,5,5,5
찰리 채플린,서울팀,프리다 칼로,4,3,4,3,5
오프라 윈프리,파리팀,오드리 헵번,5,5,5,5,5
레오나르도 다빈치,파리팀,오프라 윈프리,3,2,4,4,5
크리스티아누 호날두,시드니팀,데이비드 베컴,4,4,4,4,4
레오나르도 다빈치,파리팀,리오넬 메시,5,5,5,5,5
무하마드 알리,토론토팀,월트 디즈니,5,5,5,5,5
마이클 조던,시드니팀,데이비드 베컴,5,5,5,5,5
마이클 조던,시드니팀,일론 머스크,5,5,5,5,5
찰리 채플린,서울팀,우사인 볼트,4,5,5,5,5
리오넬 메시,파리팀,넬슨 만델라,5,5,5,5,5
마이클 조던,시드니팀,크리스티아누 호날두,5,5,5,5,5
스티브 잡스,시드니팀,크리스티아누 호날두,3,3,3,3,3
테일러 스위프트,토론토팀,무하마드 알리,5,5,5,4,5
우사인 볼트,서울팀,비욘세,3,3,3,3,3
무하마드 알리,토론토팀,코코 샤넬,5,5,5,5,5
코코 샤넬,토론토팀,알베르트 아인슈타인,5,5,5,5,5
넬슨 만델라,파리팀,리오넬 메시,5,5,5,5,5
레오나르도 다빈치,파리팀,오드리 헵번,5,5,5,5,5
찰리 채플린,서울팀,세레나 윌리엄스,5,5,5,5,5
알베르트 아인슈타인,토론토팀,무하마드 알리,5,5,5,4,5
넬슨 만델라,파리팀,오드리 헵번,5,5,5,5,5
월트 디즈니,토론토팀,엠마 왓슨,4,5,4,3,3
알베르트 아인슈타인,토론토팀,월트 디즈니,5,5,4,5,5
코코 샤넬,토론토팀,엠마 왓슨,5,5,5,5,5
넬슨 만델라,파리팀,오프라 윈프리,2,3,2,3,3
알베르트 아인슈타인,토론토팀,코코 샤넬,4,3,4,2,3
월트 디즈니,토론토팀,테일러 스위프트,3,3,3,2,2
일론 머스크,시드니팀,스티브 잡스,5,5,5,5,5
오프라 윈프리,파리팀,마리 퀴리,5,5,5,5,5
스티브 잡스,시드니팀,마이클 조던,4,4,4,4,4
데이비드 베컴,시드니팀,스티브 잡스,5,5,5,5,5
마이클 조던,시드니팀,아델,5,5,5,5,5
스티브 잡스,시드니팀,데이비드 베컴,4,4,4,4,4
레오나르도 다빈치,파리팀,넬슨 만델라,5,5,5,5,5
엠마 왓슨,토론토팀,코코 샤넬,4,5,5,5,4
넬슨 만델라,파리팀,레오나르도 다빈치,3,5,3,5,5
코코 샤넬,토론토팀,무하마드 알리,5,5,5,5,5
테일러 스위프트,토론토팀,알베르트 아인슈타인,5,5,5,4,5
크리스티아누 호날두,시드니팀,마이클 조던,4,4,4,4,4
오프라 윈프리,파리팀,넬슨 만델라,5,5,5,5,5
우사인 볼트,서울팀,세레나 윌리엄스,5,5,5,5,4
아델,시드니팀,스티브 잡스,4,5,5,5,5
무하마드 알리,토론토팀,테일러 스위프트,5,5,5,5,5
무하마드 알리,토론토팀,알베르트 아인슈타인,5,5,5,5,5
월트 디즈니,토론토팀,코코 샤넬,3,3,3,2,2
월트 디즈니,토론토팀,무하마드 알리,4,4,4,4,3
월트 디즈니,토론토팀,알베르트 아인슈타인,3,3,2,4,3
프리다 칼로,서울팀,우사인 볼트,5,5,5,5,5
테일러 스위프트,토론토팀,월트 디즈니,5,5,5,4,5
테일러 스위프트,토론토팀,무하마드 알리,4,3,4,3,4
코코 샤넬,토론토팀,월트 디즈니,5,5,5,5,5
오드리 헵번,파리팀,레오나르도 다빈치,4,4,4,4,4
아델,시드니팀,데이비드 베컴,5,5,5,5,5
오드리 헵번,파리팀,리오넬 메시,5,5,4,5,5
크리스티아누 호날두,시드니팀,스티브 잡스,4,4,4,4,4
세레나 윌리엄스,서울팀,프리다 칼로,3,3,2,5,2
크리스티아누 호날두,시드니팀,아델,4,4,4,4,4
알베르트 아인슈타인,토론토팀,엠마 왓슨,5,5,5,5,5
오드리 헵번,파리팀,오프라 윈프리,4,4,4,4,4
우사인 볼트,서울팀,이소룡,3,2,2,4,4
찰리 채플린,서울팀,비욘세,3,3,3,3,3
크리스티아누 호날두,시드니팀,일론 머스크,4,4,4,4,4
엠마 왓슨,토론토팀,알베르트 아인슈타인,5,5,4,4,5
리오넬 메시,파리팀,오프라 윈프리,5,5,5,5,5
일론 머스크,시드니팀,크리스티아누 호날두,5,5,5,5,5
아델,시드니팀,크리스티아누 호날두,4,5,5,5,5
오드리 헵번,파리팀,마리 퀴리,3,3,3,3,
엠마 왓슨,토론토팀,월트 디즈니,4,5,5,5,5
코코 샤넬,토론토팀,테일러 스위프트,5,5,5,5,5
프리다 칼로,서울팀,세레나 윌리엄스,5,5,5,5,5
일론 머스크,시드니팀,마이클 조던,5,5,5,5,5
데이비드 베컴,시드니팀,아델,5,5,5,5,5
스티브 잡스,시드니팀,일론 머스크,3,3,3,3,3
아델,시드니팀,마이클 조던,5,4,5,5,5
세레나 윌리엄스,서울팀,찰리 채플린,5,4,5,5,5
찰리 채플린,서울팀,이소룡,1,3,1,1,4
