평가자 별칭,평가자 소속 팀,평가 대상 팀,문제 정의 및 목표의 명확성,요구사항 충족 및 기능 완성도,기술적 설계 및 구현 완성도,AI/AX 활용의 적절성,발표 및 질의응답
비욘세,서울팀,시드니팀,4,4,4,3,3
오프라 윈프리,파리팀,토론토팀,4,4,5,5,5
코코 샤넬,토론토팀,파리팀,3,4,3,4,3
아델,시드니팀,서울팀,5,5,5,5,5
데이비드 베컴,시드니팀,서울팀,5,4,4,3,5
엠마 왓슨,토론토팀,시드니팀,4,5,5,5,5
넬슨 만델라,시드니팀,시드니팀,3,3,4,5,2
알베르트 아인슈타인,토론토팀,파리팀,4,4,4,4,4
크리스티아누 호날두,시드니팀,파리팀,4,4,4,4,4
넬슨 만델라,파리팀,서울팀,3,4,4,5,4
일론 머스크,시드니팀,토론토팀,5,5,4,5,5
알베르트 아인슈타인,토론토팀,시드니팀,3,4,5,4,3
스티브 잡스,시드니팀,서울팀,2,2,2,2,2
코코 샤넬,토론토팀,서울팀,4,3,3,4,4
세레나 윌리엄스,서울팀,파리팀,5,5,5,4,5
레오나르도 다빈치,파리팀,토론토팀,4,4,3,4,2
크리스티아누 호날두,시드니팀,토론토팀,4,4,4,4,4
오프라 윈프리,파리팀,서울팀,4,4,4,5,5
레오나르도 다빈치,파리팀,서울팀,5,4,4,5,5
마이클 조던,시드니팀,서울팀,4,4,4,4,4
무하마드 알리,토론토팀,파리팀,4,4,4,4,4
테일러 스위프트,토론토팀,시드니팀,4,3,2,3,2
아델,파리팀,시드니팀,5,5,5,5,5
오드리 헵번,파리팀,서울팀,3,3,2,4,3
찰리 채플린,서울팀,파리팀,5,5,5,4,3
테일러 스위프트,토론토팀,서울팀,4,3,2,3,2
데이비드 베컴,시드니팀,토론토팀,5,4,4,3,4
스티브 잡스,시드니팀,토론토팀,2,2,2,2,2
우사인 볼트,서울팀,파리팀,5,4,4,5,5
프리다 칼로,서울팀,시드니팀,4,5,4,3,4
리오넬 메시,파리팀,토론토팀,4,4,3,2,4
찰리 채플린,서울팀,토론토팀,4,5,5,4,2
테일러 스위프트,토론토팀,파리팀,4,3,3,3,3
비욘세,서울팀,토론토팀,5,5,4,4,4
넬슨 만델라,파리팀,토론토팀,3,3,2,5,2
엠마 왓슨,토론토팀,파리팀,5,5,4,3,3
우사인 볼트,서울팀,시드니팀,5,5,5,5,5
월트 디즈니,토론토팀,시드니팀,4,4,4,5,3
데이비드 베컴,시드니팀,파리팀,5,5,4,3,4
마이클 조던,시드니팀,파리팀,4,4,4,4,4
프리다 칼로,서울팀,토론토팀,4,5,5,5,5
월트 디즈니,토론토팀,서울팀,4,3,3,3,4
찰리 채플린,서울팀,시드니팀,4,5,5,5,3
월트 디즈니,토론토팀,파리팀,4,3,3,2,3
무하마드 알리,토론토팀,서울팀,4,4,4,2,5
엠마 왓슨,토론토팀,서울팀,4,4,5,3,4
우사인 볼트,서울팀,토론토팀,5,4,5,5,5
비욘세,서울팀,시드니팀,4,4,5,4,4
무하마드 알리,토론토팀,시드니팀,4,5,4,5,2
아델,시드니팀,토론토팀,5,5,4,5,4
오드리 헵번,파리팀,시드니팀,3,4,4,4,2
스티브 잡스,시드니팀,서울팀,3,3,3,3,3
크리스티아누 호날두,시드니팀,서울팀,4,4,4,4,4
코코 샤넬,토론토팀,시드니팀,4,4,3,4,2
세레나 윌리엄스,서울팀,시드니팀,2,3,4,2,4
오프라 윈프리,파리팀,시드니팀,3,3,4,5,2
리오넬 메시,파리팀,서울팀,5,4,5,5,5
일론 머스크,시드니팀,파리팀,5,5,5,5,4
세레나 윌리엄스,서울팀,토론토팀,5,5,5,3,2
레오나르도 다빈치,파리팀,시드니팀,4,4,4,5,1
프리다 칼로,서울팀,파리팀,4,5,4,4,4
마이클 조던,시드니팀,토론토팀,4,4,4,4,4
리오넬 메시,파리팀,시드니팀,5,5,5,5,4
알베르트 아인슈타인,토론토팀,서울팀,4,4,4,4,5
오드리 헵번,파리팀,토론토팀,3,3,3,3,3
일론 머스크,시드니팀,서울팀,5,5,5,5,5
